Keyword,Category,World,Source,Ruleset
Gnomish Distiller,Monster,Shadow Realm,Book of Ebon Tides,2014
Keepers,Monster,Shadow Realm,Book of Ebon Tides,2014
Keeper of Hounds,Monster,Shadow Realm,Book of Ebon Tides,2014
Keeper of Ravens,Monster,Shadow Realm,Book of Ebon Tides,2014
Knight of Shadows,Monster,Shadow Realm,Book of Ebon Tides,2014
Lesser Lunar Devil,Monster,Shadow Realm,Book of Ebon Tides,2014
Memory Thief,Monster,Shadow Realm,Book of Ebon Tides,2014
Molefolk,Monster,Shadow Realm,Book of Ebon Tides,2014
Moonshadow Catcher,Monster,Shadow Realm,Book of Ebon Tides,2014
"Oma Rattenfanger, Keeper of the Plain",Monster,Shadow Realm,Book of Ebon Tides,2014
Radiant Lord,Monster,Shadow Realm,Book of Ebon Tides,2014
River Giant,Monster,Shadow Realm,Book of Ebon Tides,2014
Styx Giant,Monster,Shadow Realm,Book of Ebon Tides,2014
River Spirit,Monster,Shadow Realm,Book of Ebon Tides,2014
Rose Golem,Monster,Shadow Realm,Book of Ebon Tides,2014
Sabel Elves,Monster,Shadow Realm,Book of Ebon Tides,2014
Sable Elf,Monster,Shadow Realm,Book of Ebon Tides,2014
Sable Elf Hierophant,Monster,Shadow Realm,Book of Ebon Tides,2014
Shadow Fey Bandit,Monster,Shadow Realm,Book of Ebon Tides,2014
Shadow Goblins,Race,Shadow Realm,Book of Ebon Tides,2014
Shadow Goblins,Monster,Shadow Realm,Book of Ebon Tides,2014
Shadow Goblin Chieftain,Monster,Shadow Realm,Book of Ebon Tides,2014
Shadow Goblin Scribe,Monster,Shadow Realm,Book of Ebon Tides,2014
Shadowspider Swarm,Monster,Shadow Realm,Book of Ebon Tides,2014
Umbral Tailor,Monster,Shadow Realm,Book of Ebon Tides,2014
Wandering Pond,Monster,Shadow Realm,Book of Ebon Tides,2014
The Sable Forest,Location,Shadow Realm,Tales From The Shadows,2014
Hunters of the Tenebrous Plain,Location,Shadow Realm,Tales From The Shadows,2014
The Hedge Maze,Location,Shadow Realm,Tales From The Shadows,2014
Entering the Wombweald,Location,Shadow Realm,Tales From The Shadows,2014
The Blackwood,Location,Shadow Realm,Tales From The Shadows,2014
Brightsigh Tower,Location,Shadow Realm,Tales From The Shadows,2014
The Village of Leer,Location,Shadow Realm,Tales From The Shadows,2014
The Lost Treasure of Paletree Rise,Location,Shadow Realm,Tales From The Shadows,2014
The Horn of Revels,Location,Shadow Realm,Tales From The Shadows,2014
The Sheltered Market,Location,Shadow Realm,Tales From The Shadows,2014
The Dark Archives,Location,Shadow Realm,Tales From The Shadows,2014
The House of Reciprocities,Location,Shadow Realm,Tales From The Shadows,2014
Ticktock Tower,Location,Shadow Realm,Tales From The Shadows,2014
Corremel-in-Shadow,Location,Shadow Realm,Tales From The Shadows,2014
The Kairious Complex,Location,Shadow Realm,Tales From The Shadows,2014
The Impossible Vault,Location,Shadow Realm,Tales From The Shadows,2014
The Rosy Casket Taverns,Location,Shadow Realm,Tales From The Shadows,2014
The Gloaming Fens,Location,Shadow Realm,Tales From The Shadows,2014
The Sunken House of Dawn,Location,Shadow Realm,Tales From The Shadows,2014
The Shadow Forest,Location,Shadow Realm,Tales From The Shadows,2014
"Aazael, The Dread Knight",Monster,Shadow Realm,Tales From The Shadows,2014
Annominc,Monster,Shadow Realm,Tales From The Shadows,2014
Briar Troll,Monster,Shadow Realm,Tales From The Shadows,2014
c’Naazo,Monster,Shadow Realm,Tales From The Shadows,2014
The Dusk Queen,Monster,Shadow Realm,Tales From The Shadows,2014
Erestee Loff,Monster,Shadow Realm,Tales From The Shadows,2014
Gothrolg,Monster,Shadow Realm,Tales From The Shadows,2014
Gruesome Plushy Swarm,Monster,Shadow Realm,Tales From The Shadows,2014
Jack Of Strings,Monster,Shadow Realm,Tales From The Shadows,2014
Nymph,Monster,Shadow Realm,Tales From The Shadows,2014
The Painted King,Monster,Shadow Realm,Tales From The Shadows,2014
Sable,Monster,Shadow Realm,Tales From The Shadows,2014
Shadow Nymph,Monster,Shadow Realm,Tales From The Shadows,2014
The Ticktock Man,Monster,Shadow Realm,Tales From The Shadows,2014
Vodyanoi,Monster,Shadow Realm,Tales From The Shadows,2014
Weeper in Shadow,Monster,Shadow Realm,Tales From The Shadows,2014
Weeper Sapling,Monster,Shadow Realm,Tales From The Shadows,2014
Painkiller,Subclass,Generic,The Illrigger Class,2014
Shadowmaster,Subclass,Generic,The Illrigger Class,2014
Architect of Ruin,Subclass,Generic,The Illrigger Class,2014
Hellspeaker,Subclass,Generic,The Illrigger Class,2014
Sanguine Knight,Subclass,Generic,The Illrigger Class,2014
Treachery,Mechanic,Generic,The Illrigger Class,2014
Bravado,Mechanic,Generic,The Illrigger Class,2014
Schemes,Mechanic,Generic,The Illrigger Class,2014
Lies,Mechanic,Generic,The Illrigger Class,2014
Bardings,Race,Middle-earth,The Lord of the Rings Roleplaying,2014
Dwarves of Durin’s Folk,Race,Middle-earth,The Lord of the Rings Roleplaying,2014
Elves of Lindon,Race,Middle-earth,The Lord of the Rings Roleplaying,2014
Hobbits of the Shire,Race,Middle-earth,The Lord of the Rings Roleplaying,2014
Men of Bree,Race,Middle-earth,The Lord of the Rings Roleplaying,2014
Rangers of the North,Race,Middle-earth,The Lord of the Rings Roleplaying,2014
Captain,Class,Middle-earth,The Lord of the Rings Roleplaying,2014
Champion,Class,Middle-earth,The Lord of the Rings Roleplaying,2014
Messenger,Class,Middle-earth,The Lord of the Rings Roleplaying,2014
Scholar,Class,Middle-earth,The Lord of the Rings Roleplaying,2014
Treasure Hunter,Class,Middle-earth,The Lord of the Rings Roleplaying,2014
Warden,Class,Middle-earth,The Lord of the Rings Roleplaying,2014
Eriador,Location,Middle-earth,The Lord of the Rings Roleplaying,2014
The Shire,Location,Middle-earth,The Lord of the Rings Roleplaying,2014
Lake Evendim,Location,Middle-earth,The Lord of the Rings Roleplaying,2014
The Bree-Land,Location,Middle-earth,The Lord of the Rings Roleplaying,2014
The Great East Road,Location,Middle-earth,The Lord of the Rings Roleplaying,2014
The Barrow-Downs,Location,Middle-earth,The Lord of the Rings Roleplaying,2014
The North Downs,Location,Middle-earth,The Lord of the Rings Roleplaying,2014
The South Downs,Location,Middle-earth,The Lord of the Rings Roleplaying,2014
The Weather Hills,Location,Middle-earth,The Lord of the Rings Roleplaying,2014
Angmar,Location,Middle-earth,The Lord of the Rings Roleplaying,2014
The Ettenmoors,Location,Middle-earth,The Lord of the Rings Roleplaying,2014
Mount Gram,Location,Middle-earth,The Lord of the Rings Roleplaying,2014
The Trollshaws,Location,Middle-earth,The Lord of the Rings Roleplaying,2014
Tharbad,Location,Middle-earth,The Lord of the Rings Roleplaying,2014
Lindon,Location,Middle-earth,The Lord of the Rings Roleplaying,2014
The Blue Mountains,Location,Middle-earth,The Lord of the Rings Roleplaying,2014
Adelard Took,Monster,Middle-earth,The Lord of the Rings Roleplaying,2014
Arin and Beinion,Monster,Middle-earth,The Lord of the Rings Roleplaying,2014
Barnabas Butterbur,Monster,Middle-earth,The Lord of the Rings Roleplaying,2014
Búrzgul,Monster,Middle-earth,The Lord of the Rings Roleplaying,2014
Evil Men,Monster,Middle-earth,The Lord of the Rings Roleplaying,2014
Hostile Southerners,Monster,Middle-earth,The Lord of the Rings Roleplaying,2014
Ruffians,Monster,Middle-earth,The Lord of the Rings Roleplaying,2014
Fitch Talltree,Monster,Middle-earth,The Lord of the Rings Roleplaying,2014
John Ferny,Monster,Middle-earth,The Lord of the Rings Roleplaying,2014
Lady Elwen-Fell Wraith,Monster,Middle-earth,The Lord of the Rings Roleplaying,2014
Nameless Things,Monster,Middle-earth,The Lord of the Rings Roleplaying,2014
Orcs,Monster,Middle-earth,The Lord of the Rings Roleplaying,2014
Great Orcs,Monster,Middle-earth,The Lord of the Rings Roleplaying,2014
Orcs of the North,Monster,Middle-earth,The Lord of the Rings Roleplaying,2014
Oswald Breeker,Monster,Middle-earth,The Lord of the Rings Roleplaying,2014
Trolls,Monster,Middle-earth,The Lord of the Rings Roleplaying,2014
Cave-Trolls,Monster,Middle-earth,The Lord of the Rings Roleplaying,2014
Stone-Trolls,Monster,Middle-earth,The Lord of the Rings Roleplaying,2014
Undead,Monster,Middle-earth,The Lord of the Rings Roleplaying,2014
Wights,Monster,Middle-earth,The Lord of the Rings Roleplaying,2014
Wraiths,Monster,Middle-earth,The Lord of the Rings Roleplaying,2014
The Wight-King,Monster,Middle-earth,The Lord of the Rings Roleplaying,2014
Wolves of the Wild,Monster,Middle-earth,The Lord of the Rings Roleplaying,2014
Wargs,Monster,Middle-earth,The Lord of the Rings Roleplaying,2014
Werewolves,Monster,Middle-earth,The Lord of the Rings Roleplaying,2014
Hellfire Blade,Spell,Generic,The Illrigger Class,2014
Mote of Hell,Spell,Generic,The Illrigger Class,2014
Single Combat,Spell,Generic,The Illrigger Class,2014
Aura of Desecration,Spell,Generic,The Illrigger Class,2014
Hell's Lash,Spell,Generic,The Illrigger Class,2014
Acid Seal,Item,Generic,The Illrigger Class,2014
Cold Seal,Item,Generic,The Illrigger Class,2014
Fire Seal,Item,Generic,The Illrigger Class,2014
Lightning Seal,Item,Generic,The Illrigger Class,2014
Thunder Seal,Item,Generic,The Illrigger Class,2014
Poison Seal,Item,Generic,The Illrigger Class,2014
Psychic Seal,Item,Generic,The Illrigger Class,2014
Cross Skull and Bones,Item,Generic,The Illrigger Class,2014
Hellvet Cloak,Item,Generic,The Illrigger Class,2014
Infernal Calvary Medal,Item,Generic,The Illrigger Class,2014
Painstar,Item,Generic,The Illrigger Class,2014
Periapt of Hellish Vitality,Item,Generic,The Illrigger Class,2014
Shield of Horrors,Item,Generic,The Illrigger Class,2014
