Keyword,Category,World,Source
Delerium Dragon Wyrmling,Monster,Drakkenheim,Monsters of Drakkenheim
Young Delerium Dragon,Monster,Drakkenheim,Monsters of Drakkenheim
Adult Delerium Dragon,Monster,Drakkenheim,Monsters of Drakkenheim
Ancient Delerium Dragon,Monster,Drakkenheim,Monsters of Drakkenheim
Delerium Dreg,Monster,Drakkenheim,Monsters of Drakkenheim
Bloated Dreg,Monster,Drakkenheim,Monsters of Drakkenheim
Chitinous Dreg,Monster,Drakkenheim,Monsters of Drakkenheim
Crystalline Dreg,Monster,Drakkenheim,Monsters of Drakkenheim
Displacer Dreg,Monster,Drakkenheim,Monsters of Drakkenheim
Eldritch Dreg,Monster,Drakkenheim,Monsters of Drakkenheim
Frenzied Dreg,Monster,Drakkenheim,Monsters of Drakkenheim
Gutwretch Dreg,Monster,Drakkenheim,Monsters of Drakkenheim
Lambent Dreg,Monster,Drakkenheim,Monsters of Drakkenheim
Lurking Dreg,Monster,Drakkenheim,Monsters of Drakkenheim
Spined Dreg,Monster,Drakkenheim,Monsters of Drakkenheim
Tentacled Dreg,Monster,Drakkenheim,Monsters of Drakkenheim
Digipede,Monster,Drakkenheim,Monsters of Drakkenheim
Disembodied Psyche,Monster,Drakkenheim,Monsters of Drakkenheim
Drakkenheim Sewer Gator,Monster,Drakkenheim,Monsters of Drakkenheim
"Dr. Everett Freed, Reanimator",Villain,Drakkenheim,Monsters of Drakkenheim
Druid of the Sanguine Rites,Monster,Drakkenheim,Monsters of Drakkenheim
The Duchess,Villain,Drakkenheim,Monsters of Drakkenheim
Effulgent Cnidarian,Monster,Drakkenheim,Monsters of Drakkenheim
"Elemental, Contaminated",Monster,Drakkenheim,Monsters of Drakkenheim
Animated Delerium Sludge,Monster,Drakkenheim,Monsters of Drakkenheim
Entropic Flame,Monster,Drakkenheim,Monsters of Drakkenheim
Living Deep Haze,Monster,Drakkenheim,Monsters of Drakkenheim
Walking Delerium Geode,Monster,Drakkenheim,Monsters of Drakkenheim
Elemental Trolls,Monster,Drakkenheim,Monsters of Drakkenheim
Magma Troll,Monster,Drakkenheim,Monsters of Drakkenheim
Storm Troll,Monster,Drakkenheim,Monsters of Drakkenheim
Winter Troll,Monster,Drakkenheim,Monsters of Drakkenheim
Eldrick Runeweaver,Villain,Drakkenheim,Monsters of Drakkenheim
Eldritch Cataclysm,Monster,Drakkenheim,Monsters of Drakkenheim
Eldritch Crawler,Monster,Drakkenheim,Monsters of Drakkenheim
Eldritch Troll,Monster,Drakkenheim,Monsters of Drakkenheim
Eldritch Trickster,Monster,Drakkenheim,Monsters of Drakkenheim
Entropic Watcher,Monster,Drakkenheim,Monsters of Drakkenheim
Executioner,Monster,Drakkenheim,Monsters of Drakkenheim
Exorcist,Monster,Drakkenheim,Monsters of Drakkenheim
Far Dwellers,Monster,Drakkenheim,Monsters of Drakkenheim
Far Dweller Abductor,Monster,Drakkenheim,Monsters of Drakkenheim
Far Dweller Corruptor,Monster,Drakkenheim,Monsters of Drakkenheim
Far Dweller Mastermind,Monster,Drakkenheim,Monsters of Drakkenheim
Flamekeeper,Monster,Drakkenheim,Monsters of Drakkenheim
Fractal Lepidoptera,Monster,Drakkenheim,Monsters of Drakkenheim
Fungal Trolling,Monster,Drakkenheim,Monsters of Drakkenheim
Garmyr Berserker,Monster,Drakkenheim,Monsters of Drakkenheim
Garmyr Bloodhound,Monster,Drakkenheim,Monsters of Drakkenheim
Garmyr Thaumaturge,Monster,Drakkenheim,Monsters of Drakkenheim
Garmyr War Dog,Monster,Drakkenheim,Monsters of Drakkenheim
Garmyr Warrior,Monster,Drakkenheim,Monsters of Drakkenheim
Ghouls,Monster,Drakkenheim,Monsters of Drakkenheim
Ghoul Lord,Monster,Drakkenheim,Monsters of Drakkenheim
Ghoul Priest,Monster,Drakkenheim,Monsters of Drakkenheim
Ravenous Ghoul,Monster,Drakkenheim,Monsters of Drakkenheim
Giant Ratling,Monster,Drakkenheim,Monsters of Drakkenheim
Graffiti,Monster,Drakkenheim,Monsters of Drakkenheim
Grasping Shadow,Monster,Drakkenheim,Monsters of Drakkenheim
Gravekeeper,Monster,Drakkenheim,Monsters of Drakkenheim
Grim Custodian,Monster,Drakkenheim,Monsters of Drakkenheim
Hazeblood Vampire,Monster,Drakkenheim,Monsters of Drakkenheim
Haze Hulk,Monster,Drakkenheim,Monsters of Drakkenheim
Cyclopean Hulk,Monster,Drakkenheim,Monsters of Drakkenheim
Grotesque Gargantuan,Monster,Drakkenheim,Monsters of Drakkenheim
Gutbuster Hulk,Monster,Drakkenheim,Monsters of Drakkenheim
Hunter Hulk,Monster,Drakkenheim,Monsters of Drakkenheim
Juggernaut Hulk,Monster,Drakkenheim,Monsters of Drakkenheim
Protean Abomination,Monster,Drakkenheim,Monsters of Drakkenheim
Haze Husk,Monster,Drakkenheim,Monsters of Drakkenheim
Haze Wight,Monster,Drakkenheim,Monsters of Drakkenheim
Hazewind Harpy Crone,Monster,Drakkenheim,Monsters of Drakkenheim
Hazewind Harpy Hunter,Monster,Drakkenheim,Monsters of Drakkenheim
Hazewind Harpy Valkyrie,Monster,Drakkenheim,Monsters of Drakkenheim
Hazewing Moths,Monster,Drakkenheim,Monsters of Drakkenheim
Hazewing Moth Caterpillar,Monster,Drakkenheim,Monsters of Drakkenheim
Hazewing Moth Chrysalis,Monster,Drakkenheim,Monsters of Drakkenheim
Hazewing Moth Adult,Monster,Drakkenheim,Monsters of Drakkenheim
Helpful Hand,Monster,Drakkenheim,Monsters of Drakkenheim
He Who Laughs Last,Villain,Drakkenheim,Monsters of Drakkenheim
High Flamekeeper Ophelia Reed,Villain,Drakkenheim,Monsters of Drakkenheim
Hooded Lantern Apothecary,Monster,Drakkenheim,Monsters of Drakkenheim
Hooded Lantern Scout,Monster,Drakkenheim,Monsters of Drakkenheim
Hooded Lantern Trapper,Monster,Drakkenheim,Monsters of Drakkenheim
Hooded Lantern Veteran,Monster,Drakkenheim,Monsters of Drakkenheim
Humongous Fungus Troll,Monster,Drakkenheim,Monsters of Drakkenheim
Hypnotic Eldritch Blossom,Monster,Drakkenheim,Monsters of Drakkenheim
Injector,Monster,Drakkenheim,Monsters of Drakkenheim
Innocent Harvester,Monster,Drakkenheim,Monsters of Drakkenheim
Interloper,Monster,Drakkenheim,Monsters of Drakkenheim
Kingkiller Hydra,Monster,Drakkenheim,Monsters of Drakkenheim
Knight-Captain Theodore Marshal,Villain,Drakkenheim,Monsters of Drakkenheim
Kronen,Villain,Drakkenheim,Monsters of Drakkenheim
Last Memory,Monster,Drakkenheim,Monsters of Drakkenheim
Lenore von Kessel,Villain,Drakkenheim,Monsters of Drakkenheim
Haze Regent Lenore von Kessel,Villain,Drakkenheim,Monsters of Drakkenheim
Lieutenant Petra Lang,Villain,Drakkenheim,Monsters of Drakkenheim
Liminal Herald,Monster,Drakkenheim,Monsters of Drakkenheim
Living Biohazard,Monster,Drakkenheim,Monsters of Drakkenheim
Living City,Monster,Drakkenheim,Monsters of Drakkenheim
Loathsome Gag Fly,Monster,Drakkenheim,Monsters of Drakkenheim
Lob Frog,Monster,Drakkenheim,Monsters of Drakkenheim
Lord Commander Elias Drexel,Villain,Drakkenheim,Monsters of Drakkenheim
Lord of the Feast,Villain,Drakkenheim,Monsters of Drakkenheim
Lucretia Mathias,Villain,Drakkenheim,Monsters of Drakkenheim
Lurker on the Threshold,Monster,Drakkenheim,Monsters of Drakkenheim
Master Mage,Monster,Drakkenheim,Monsters of Drakkenheim
Maw Vermin,Monster,Drakkenheim,Monsters of Drakkenheim
Minazorond,Monster,Drakkenheim,Monsters of Drakkenheim
Missionary,Monster,Drakkenheim,Monsters of Drakkenheim
Mutagenist,Monster,Drakkenheim,Monsters of Drakkenheim
Nathaniel Flint,Villain,Drakkenheim,Monsters of Drakkenheim
Night Blade,Monster,Drakkenheim,Monsters of Drakkenheim
Oak Troll,Monster,Drakkenheim,Monsters of Drakkenheim
Octarine Tree,Monster,Drakkenheim,Monsters of Drakkenheim
Oracle of the Rat God,Monster,Drakkenheim,Monsters of Drakkenheim
Pale Man,Monster,Drakkenheim,Monsters of Drakkenheim
Pathogenist,Monster,Drakkenheim,Monsters of Drakkenheim
Phage,Monster,Drakkenheim,Monsters of Drakkenheim
Pilgrim,Monster,Drakkenheim,Monsters of Drakkenheim
Plague Carrier,Monster,Drakkenheim,Monsters of Drakkenheim
Psychophant,Monster,Drakkenheim,Monsters of Drakkenheim
Pyknic Maunder,Monster,Drakkenheim,Monsters of Drakkenheim
Queen of Thieves,Villain,Drakkenheim,Monsters of Drakkenheim
Rat God,Monster,Drakkenheim,Monsters of Drakkenheim
Ratling Alchemist,Monster,Drakkenheim,Monsters of Drakkenheim
Ratling Burrow Warden,Monster,Drakkenheim,Monsters of Drakkenheim
Ratling Guttersnipe,Monster,Drakkenheim,Monsters of Drakkenheim
Ratling Pathogenist,Monster,Drakkenheim,Monsters of Drakkenheim
Ratling Warrior,Monster,Drakkenheim,Monsters of Drakkenheim
Rat King,Monster,Drakkenheim,Monsters of Drakkenheim
Rat Prince,Monster,Drakkenheim,Monsters of Drakkenheim
Rat Crown Prince,Monster,Drakkenheim,Monsters of Drakkenheim
Ravenous Flora,Monster,Drakkenheim,Monsters of Drakkenheim
Reality Cyst,Monster,Drakkenheim,Monsters of Drakkenheim
Reautomata,Monster,Drakkenheim,Monsters of Drakkenheim
Reautomata Wrecker,Monster,Drakkenheim,Monsters of Drakkenheim
Scrap Reautomata,Monster,Drakkenheim,Monsters of Drakkenheim
Ripper,Monster,Drakkenheim,Monsters of Drakkenheim
"River, Amethyst Academy Liaison",Villain,Drakkenheim,Monsters of Drakkenheim
Royal Assassin,Monster,Drakkenheim,Monsters of Drakkenheim
Sanctified Knight,Monster,Drakkenheim,Monsters of Drakkenheim
Sanctified Monk,Monster,Drakkenheim,Monsters of Drakkenheim
Sanctified Soul,Monster,Drakkenheim,Monsters of Drakkenheim
Sanguine Witch,Monster,Drakkenheim,Monsters of Drakkenheim
Sentient Planetoid,Monster,Drakkenheim,Monsters of Drakkenheim
Sewer Thing,Monster,Drakkenheim,Monsters of Drakkenheim
Shardmaul Manticore,Monster,Drakkenheim,Monsters of Drakkenheim
Skeletons,Monster,Drakkenheim,Monsters of Drakkenheim
Skeleton Archer,Monster,Drakkenheim,Monsters of Drakkenheim
Skeleton Mage,Monster,Drakkenheim,Monsters of Drakkenheim
Skeleton Soldier,Monster,Drakkenheim,Monsters of Drakkenheim
Skin Crawler,Monster,Drakkenheim,Monsters of Drakkenheim
Skinwing,Monster,Drakkenheim,Monsters of Drakkenheim
Skretch,Villain,Drakkenheim,Monsters of Drakkenheim
Silver Order Cavalier,Monster,Drakkenheim,Monsters of Drakkenheim
Silver Order Paladin,Monster,Drakkenheim,Monsters of Drakkenheim
Silver Order Recruit,Monster,Drakkenheim,Monsters of Drakkenheim
Silver Order Squire,Monster,Drakkenheim,Monsters of Drakkenheim
Soulbound Host,Monster,Drakkenheim,Monsters of Drakkenheim
Aberrant Host,Monster,Drakkenheim,Monsters of Drakkenheim
Faerie Host,Monster,Drakkenheim,Monsters of Drakkenheim
Fiendish Host,Monster,Drakkenheim,Monsters of Drakkenheim
Speaking Skull,Monster,Drakkenheim,Monsters of Drakkenheim
Star Warden,Monster,Drakkenheim,Monsters of Drakkenheim
Stitcher,Monster,Drakkenheim,Monsters of Drakkenheim
Striga,Monster,Drakkenheim,Monsters of Drakkenheim
Swarm of Contaminated Insects,Monster,Drakkenheim,Monsters of Drakkenheim
Swarm of Ratlings,Monster,Drakkenheim,Monsters of Drakkenheim
Tanker,Monster,Drakkenheim,Monsters of Drakkenheim
Thing with the Writhing Tail,Monster,Drakkenheim,Monsters of Drakkenheim
Think Tank,Monster,Drakkenheim,Monsters of Drakkenheim
Tower Dragon,Monster,Drakkenheim,Monsters of Drakkenheim
Troll Hag,Monster,Drakkenheim,Monsters of Drakkenheim
Troll Hag Coven,Monster,Drakkenheim,Monsters of Drakkenheim
Uncontained Growth,Monster,Drakkenheim,Monsters of Drakkenheim
Undulating Polyp,Monster,Drakkenheim,Monsters of Drakkenheim
Vladimir von Drakken,Villain,Drakkenheim,Monsters of Drakkenheim
Crypt-Starved Vladimir von Drakken,Villain,Drakkenheim,Monsters of Drakkenheim
Reborn Vladimir von Drakken,Villain,Drakkenheim,Monsters of Drakkenheim
Ascendant Vladimir von Drakken,Villain,Drakkenheim,Monsters of Drakkenheim
Void Pirates,Monster,Drakkenheim,Monsters of Drakkenheim
Void Pirate Captain,Monster,Drakkenheim,Monsters of Drakkenheim
Void Pirate Herald,Monster,Drakkenheim,Monsters of Drakkenheim
Void Pirate Quartermaster,Monster,Drakkenheim,Monsters of Drakkenheim
Void Pirate Squib,Monster,Drakkenheim,Monsters of Drakkenheim
Wall Gargoyle,Monster,Drakkenheim,Monsters of Drakkenheim
Warlock of the Rat God,Monster,Drakkenheim,Monsters of Drakkenheim
Warp Marauder,Monster,Drakkenheim,Monsters of Drakkenheim
Warp Witch,Monster,Drakkenheim,Monsters of Drakkenheim
Wretched Patient,Monster,Drakkenheim,Monsters of Drakkenheim
The Whispered Promise,Monster,Drakkenheim,Monsters of Drakkenheim
The World Ender,Villain,Drakkenheim,Monsters of Drakkenheim
Zealot,Monster,Drakkenheim,Monsters of Drakkenheim
Zealot of Morrigan,Monster,Drakkenheim,Monsters of Drakkenheim
