# Source: GET https://api.drivethrurpg.com/api/vBeta/filters?groupId=1&siteId=10
# Captured: 2026-09-22 · walked page=1..N at pageSize=50 until short page
# Format: filterId|parentId|name
45669|100193|Starfinder OGL / ORC
45687|9999|GURPS
45688|9999|WOIN
45689|9999|Torg Eternity
45709|9999|Diceless
45719|40|Nederlands
45755|30|Cyberpunk
45756|9999|Card
45757|40|Zhongwen 中文
45787|44235|Pathfinder OGL 1E
45788|44235|Pathfinder OGL / ORC 2E
45792|9999|TinyD6
45794|9999|Genesys
45797|1000184|3rd Edition
45798|1800|StoryPath
45802|10020|Open d6
45831|1000031|Phone PDF
45834|999999|Staff Picks
45870|30|Year Zero Engine
45872|40|Magyar
45873|44530|Heartwarming/honobono
45875|999999|AU Brushfire Relief Charity Bundles
45878|900|LGBTQ+
45880|900|Romance
45886|9999|Prowlers & Paragons
45908|40|Japanese 日本語
45927|2893|Type
45928|2893|Subject
45929|2893|License
45931|45929|Commercial
45932|45929|Personal
45933|45928|Humanoids
45934|45928|Creatures
45935|45928|Locations
100003|30|Mothership
100005|44232|First Edition
100006|44232|Second Edition
100007|44232|Fourth Edition
100010|9999|Pip System
100013|9999|Chronicle System
100033|9999|Symbaroum
100040|9999|Monsters! Monsters!
100042|9999|Entromancy
100050|44825|Monster of the Week
100051|1700|Shadowrun, 1st Ed.
100052|1700|Shadowrun, 2nd Ed.
100053|1700|Shadowrun, 6th Ed.
100054|1700|Shadowrun: Anarchy
100073|45317|Foundry
100076|45317|Fantasy Grounds
100092|40|Korean 한국어
100093|40|Ukrainian / Українська
100099|45582|Old-School Essentials
100108|9999|Mist Engine
100192|100193|Pathfinder Official
100193|30|Pathfinder / Starfinder
100194|100192|Pathfinder 1E
100195|100192|Pathfinder 2E
100202|9999|CORE
100214|9999|Chivalry & Sorcery
100215|45582|Mork Borg
100218|9999|Polymorph
100220|100|Weird West
100226|30|Forged in the Dark
100227|100073|Foundry VTT Premium Content
100228|9999|Zweihänder
100232|999999|Indie Gallery
1000018|9999|Fading Suns
1000028|1000574|Troika!
1000031|44498|Digital
1000032|44498|Creation Method
1000033|1000032|Human-Created Without AI
1000035|1000032|Contains AI-Generated Content
1000036|45317|Roll20
1000046|40|Català
1000049|9999|Coyote and Crow
1000053|9999|Everyday Heroes
1000057|45582|Into the Odd
1000065|9999|Esper Genesis
1000067|9999|Forbidden Lands
1000074|9999|2d20
1000093|100215|CY_BORG
1000104|9999|Level Up: Advanced 5th Edition
1000107|9999|Essence20
1000110|9999|Burning Wheel System
1000112|45582|Shadowdark RPG
1000114|100215|Pirate Borg
1000160|940|Pirates
1000162|100193|Starfinder Official
1000164|9999|Black Flag Roleplaying
1000169|2140|Micro-RPGs
1000173|9999|Dragonbane
1000174|100192|Pathfinder Second Edition Core
1000179|45582|Dragonslayer
1000180|999999|PocketQuest 2024
1000182|9999|Illuminated Worlds System
1000184|1800|Exalted
1000185|1840|1st Edition/nWoD
1000186|1840|2nd Edition/Chronicles
1000187|1830|1st Edition
1000188|1830|2nd Edition
1000189|1830|3rd Edition/Revised
1000190|1830|4th Edition/20th Anniversary
1000191|1830|5th Edition
1000207|999999|ENnie Awards 2024 Nominees
1000209|999999|Next Adventure Spotlight
1000214|9999|Fabula Ultima
1000215|30|Marvel d616
1000226|999999|The Next Adventure
1000228|9999|Ars Magica
1000229|45582|Adventurer Conqueror King System (ACKS)
1000231|9999|EZD6
1000233|40|Hebrew / עברית
1000238|9999|Delta Green
1000239|999999|PAX Unplugged Spotlight
1000247|9999|Trophy
1000259|45323|5e
1000260|1000259|5.5e
1000264|9999|Tricube Tales
1000280|9999|Ironsworn
1000562|30|Daggerheart
1000564|1000169|PocketQuest
1000566|40|Greek / Ελληνικά
1000567|9999|Cosmere® RPG
1000574|9999|Advanced Fighting Fantasy
1000579|1400|M&M 4th Edition
1000587|1000162|Starfinder 1E
1000588|1000162|Starfinder 2E
1000589|45669|Starfinder OGL 1E
1000590|45669|Starfinder OGL / ORC 2E
1000591|20|RPG Accessories & Merch
1000592|1000591|Apparel
1000593|1000591|Dice
1000594|1000591|Toys & Plush
1000595|1000591|Miscellaneous Merchandise
1000598|1000591|Posters & Prints
1000599|2210|Objects & Overlays
1000600|2200|3D Papercraft
1000601|45615|3D Print Miniatures
1000602|45615|3D Print Objects & Terrain
1000603|2200|Physical Miniatures
1000604|1000603|Character Miniatures
1000605|1000603|Monster Miniatures
1000606|1000603|Objects and Terrain Miniatures
1000607|999999|Roll20Con Sale
1000609|45582|Dolmenwood
1000610|9999|Phantasy Star™ Tabletop Roleplaying
1000625|44294|Print-on-Demand
1000626|44294|Retail Edition
1000688|45582|Cairn
1000689|45582|Vagabond
1000690|100108|Cauldron of MIst - City of Mist
1000691|100108|Cauldron of Mist - :Otherscape
1000692|100108|Cauldron of Mist - Legend in the Mist
1000725|40|Norsk
1000730|44826|Age of Vikings
1000738|45317|Demiplane
1000753|9999|Draw Steel
1000756|44823|Solo
1000757|44823|2+ Players
1000758|44823|Gamebooks
1000765|9999|Land of Eem RPG
1000768|999999|Kiwi RPG Week
1000770|9999|Liminal Horror
1000771|9999|Panic Engine
1000772|40|Scottish Gaelic (Gàidhlig)
1000775|1000112|DarkSpace RPG
1000776|40|Bahasa Indonesia
1000777|100226|Echoes of the Veil
1000781|999999|September Superhero Sale
1000784|44233|Cthulhu Eternal
