# Source: GET https://api.dmsguild.com/api/vBeta/filters?groupId=29&siteId=76
# Captured: 2026-09-22 · walked page=1..N at pageSize=50 until short page
# Format: filterId|parentId|name
45752|45423|Solo/Single-Player
45759|45343|Ravnica
45783|45381|Campaign Settings
45796|1000055|Ghosts of Saltmarsh
45832|1000055|Descent into Avernus
45835|45544|Phone PDF
45864|999999|Staff Picks
45882|45393|Salvage Missions (AL)
45936|1000055|Mythic Odysseys of Theros
45937|45343|Theros
100018|45423|Arctic
100023|45472|Rime of the Frostmaiden
100057|45393|Dungeoncraft (AL)
100063|1000055|Candlekeep Mysteries
100084|45507|Van Richten's Guide to Ravenloft
100191|1000055|Wild Beyond the Witchlight
100219|45544|Screenreader PDF
100221|1000055|Arcavios (Strixhaven)
100222|45343|Arcavios(Strixhaven)
1000020|1000055|Radiant Citadel
1000027|1000055|Spelljammer
1000030|45545|Fantasy Grounds
1000042|45470|Forgotten Realms Campaign World
1000043|45470|Eberron Campaign World
1000044|45470|Ravenloft Campaign World
1000055|45472|Previous Storylines
1000063|45545|Roll20
1000068|45472|Dragonlance
1000089|1000055|Keys from the Golden Vault
1000100|999999|Support Extra Life!
1000109|45477|Ukrainian / Українська
1000140|45544|Creation Method
1000141|1000140|Contains AI-Generated Content
1000142|1000140|Human-Created Without AI
1000156|45477|Japanese 日本語
1000159|45472|Phandelver & Below
1000161|1000055|Planescape
1000198|45472|Vecna: Eve of Ruin
1000227|999999|The Next Adventure
1000261|45342|5th Edition
1000263|1000261|5.5e
1000267|45423|Feywild
1000565|45472|Dragon Delves
1000608|999999|Roll20Con Sale
1000680|45356|Baldurs Gate
1000783|999999|September Planescape Sale
1000785|45356|Thay
1000786|45472|Arcana Unleashed
