Row 2: Aberrant Mind 5e | Status: 53 | Reason: Keep
Row 69: Artillerist build | Status: 53 | Reason: Keep
Row 70: Ascendant Dragon Monk | Status: 53 | Reason: Keep
Row 71: Ash Druid | Status: 53 | Reason: Keep
Row 72: Assassin 5e | Status: 53 | Reason: Keep
Row 73: Assassin build | Status: 53 | Reason: Drop
Row 74: Astral Self Monk | Status: 53 | Reason: Keep
Row 75: Athlete 5e | Status: 53 | Reason: Drop
Row 76: Athlete build | Status: 53 | Reason: Drop
Row 77: Avatar 5e | Status: 53 | Reason: Keep
Row 78: Avatar build | Status: 53 | Reason: Drop
Row 79: Awakened 5e | Status: 53 | Reason: Keep
Row 80: Awakened build | Status: 53 | Reason: Drop
Row 81: Balanced Mind Monk | Status: 53 | Reason: Keep
Row 82: Banneret 5e | Status: 53 | Reason: Keep
Row 83: Banneret build | Status: 53 | Reason: Keep
Row 84: Barbarian 2024 | Status: 53 | Reason: Keep
Row 85: Barbarian 5e | Status: 53 | Reason: Keep
Row 86: Barbarian build | Status: 53 | Reason: Keep
Row 87: Barbarian: Path of the Belly Brewer 5e | Status: 53 | Reason: Keep
Row 88: Barbarian: Path of the Belly Brewer build | Status: 53 | Reason: Keep
Row 89: Barbarian: Path of the Experiment 5e | Status: 53 | Reason: Keep
Row 90: Barbarian: Path of the Experiment build | Status: 53 | Reason: Keep
Row 91: Barbarian: Path of the Infernal 5e | Status: 53 | Reason: Keep
Row 92: Barbarian: Path of the Infernal build | Status: 53 | Reason: Keep
Row 93: Bard 2024 | Status: 53 | Reason: Keep
Row 94: Bard 5e | Status: 53 | Reason: Keep
Row 95: Bard build | Status: 53 | Reason: Keep
Row 96: Bard: College of Fleshweaving 5e | Status: 53 | Reason: Keep
Row 97: Bard: College of Fleshweaving build | Status: 53 | Reason: Keep
Row 98: Bard: College of Masks 5e | Status: 53 | Reason: Keep
Row 99: Bard: College of Masks build | Status: 53 | Reason: Keep
Row 100: Bard: College of Mercantile 5e | Status: 53 | Reason: Keep
Row 101: Bard: College of Mercantile build | Status: 53 | Reason: Keep
